word	sentiment	female	male
acrimonious	-3	0	2
self-deluded	-2	2	0
curse	-1	1	3
celebrated	3	0	1
suspect	-1	4	2
funeral	-1	0	2
confused	-2	0	1
brilliant	4	2	1
guilty	-3	0	2
proud	2	3	1
accomplished	2	1	1
love	3	5	10
bloody	-3	1	2
marvelous	3	0	1
fake	-3	0	1
scam	-2	1	0
crisis	-3	1	0
sympathetic	2	0	1
homesick	-2	1	1
positive	2	0	1
angry	-3	2	3
downhearted	-2	0	1
drown	-2	2	2
degrade	-2	0	1
pretend	-1	1	2
flu	-2	0	1
inflamed	-2	0	2
hope	2	1	2
growing	1	2	1
lighthearted	1	0	1
disbelieve	-2	1	0
chic	2	1	0
provoke	-1	0	2
bankrupt	-3	2	1
fuming	-2	1	0
agonizing	-3	1	1
misleading	-3	2	0
unbelievable	-1	0	1
irrational	-1	1	1
heartbreaking	-3	1	0
mad	-3	2	2
destructive	-3	1	0
disconsolate	-2	1	0
amuse	3	0	2
nosey	-2	0	1
thorny	-2	0	1
deceive	-3	1	1
offend	-2	1	1
cute	2	1	0
shaky	-2	2	0
unacceptable	-2	1	0
suicide	-2	1	0
playful	2	2	2
lovelies	3	1	0
avid	2	0	1
interesting	2	2	1
attraction	2	2	1
lonely	-2	3	1
captivated	3	0	1
sarcastic	-2	1	1
compelled	1	0	1
wealthy	2	0	1
intrigues	1	0	1
drop	-1	3	3
careless	-2	1	1
vexation	-2	1	0
breakthrough	3	1	0
giddy	-2	0	2
accomplish	2	0	1
irony	-1	2	3
trauma	-3	2	0
phobic	-2	1	0
vicious	-2	0	1
disrespect	-2	0	1
felonies	-3	0	1
crazier	-2	0	1
ominous	3	1	2
care	2	7	2
envies	-1	0	1
honest	2	0	4
outcry	-2	0	1
entrusted	2	1	0
neglect	-2	0	1
blind	-1	1	1
suspend	-1	1	2
suing	-2	0	1
stifled	-1	0	1
seduced	-1	1	2
alas	-1	0	1
depressed	-2	1	1
optimism	2	0	1
prospect	1	1	0
questionable	-2	0	1
illness	-2	2	1
contentious	-2	0	1
sad	-2	1	4
anger	-3	2	6
relaxed	2	0	1
pain	-2	1	0
insanity	-2	1	1
steadfast	2	0	1
adopt	1	0	3
axe	-1	0	1
cheat	-3	0	1
infuriate	-2	1	1
scoop	3	2	2
aggressive	-2	0	1
stressor	-2	1	0
help	2	1	2
dick	-4	0	1
crime	-3	1	1
tears	-2	1	2
outrage	-3	1	1
satisfied	2	1	1
justified	2	0	1
celebrate	3	1	1
wrathful	-3	1	0
imbecile	-3	0	1
worried	-3	2	5
vision	1	2	1
lethargy	-2	0	3
imposing	-1	0	1
mope	-1	0	1
pained	-2	1	1
killing	-3	0	1
blame	-2	0	1
jovial	2	1	1
grieved	-2	1	0
undermine	-2	1	0
frisky	2	0	1
disappointment	-2	1	1
cornered	-2	1	4
sulky	-2	2	0
cancer	-1	1	1
accusation	-2	1	2
exploit	-2	1	2
anti	-1	1	0
cancel	-1	1	1
bizarre	-2	1	0
better	2	9	7
jaunty	2	1	1
blessing	3	0	2
careful	2	1	1
spirit	1	1	0
abducted	-2	1	0
falsified	-3	0	1
sincere	2	3	3
oks	2	1	1
dubious	-2	0	3
blah	-2	2	0
bias	-1	1	2
embrace	1	1	1
ironic	-1	1	0
fame	1	2	2
resentful	-2	2	0
harsh	-2	3	3
dithering	-2	1	0
underestimate	-1	1	0
weakness	-2	1	2
applaud	2	2	0
weep	-2	2	2
longing	-1	2	0
charges	-2	0	4
no	-1	2	0
severe	-2	0	3
solve	1	0	1
inability	-2	1	0
reward	2	1	0
diffident	-2	1	2
kill	-3	1	1
madness	-3	1	2
death	-2	0	3
adventurous	2	1	1
mournful	-2	1	0
earnest	2	0	3
disappointed	-2	1	0
vague	-2	3	4
tremulous	-2	1	1
distrustful	-3	1	0
possessive	-2	0	1
terrorize	-3	2	0
greeting	1	0	1
miracle	4	2	1
benefit	2	2	4
dirtier	-2	2	2
passionate	2	2	2
pushy	-1	0	1
slavery	-3	1	0
gross	-2	1	0
legal	1	1	1
deficit	-2	1	0
apocalyptic	-2	1	0
biased	-2	1	1
welcome	2	1	3
racism	-3	0	1
sadden	-2	3	0
exciting	3	1	0
smear	-2	2	0
cares	2	0	1
favorite	2	0	1
tumor	-2	1	0
scornful	-2	0	1
perturbed	-2	0	1
apologize	-1	0	1
empathetic	2	1	0
mindless	-2	1	1
decisive	1	0	1
exasperated	2	0	1
mischief	-1	0	1
sophisticated	2	2	0
promote	1	0	1
irreversible	-1	0	1
fraud	-4	0	3
rage	-2	3	3
treasure	2	0	1
ennui	-2	1	1
deadlock	-2	0	1
agree	1	2	1
affection	3	2	2
fright	-2	1	0
exhausted	-2	0	1
censor	-2	1	1
tranquil	2	1	0
selfish	-3	1	1
pensive	-1	1	1
dismayed	-2	2	1
victimize	-3	0	1
important	2	1	2
fresh	1	2	1
restricted	-2	0	1
liar	-3	2	2
forget	-1	2	3
vile	-3	1	1
lack	-2	3	1
pique	-2	1	4
thoughtful	2	2	1
sappy	-1	1	0
dreadful	-3	1	0
opportunities	2	2	1
revengeful	-2	0	1
remorse	-2	0	2
restrict	-2	2	0
carefree	1	1	0
crestfallen	-2	1	0
fan	3	0	1
rape	-4	1	1
awful	-3	0	2
robed	-2	1	0
fad	-2	1	0
abandoned	-2	1	1
elated	3	3	0
heaven	2	1	1
fearful	-2	0	1
enrapture	3	1	1
methodical	2	1	0
vivacious	3	2	1
skeptic	-2	0	1
overload	-1	4	5
crush	-1	2	0
loose	-3	1	0
rigged	-1	3	5
disastrous	-3	0	1
yummy	3	0	1
strong	2	0	2
tragedy	-2	1	0
inspired	2	1	1
masterpiece	4	1	0
heartbroken	-3	1	1
whimsical	1	1	0
cowardly	-2	1	1
snub	-2	1	2
deject	-2	0	1
irritate	-3	0	1
wavering	-1	0	1
fraudster	-4	0	1
inquisition	-2	0	1
diamond	1	0	1
brisk	2	2	0
problem	-2	1	1
excuse	-1	2	3
broke	-1	1	0
retained	-1	0	1
doom	-2	0	1
abandon	-2	1	1
beautiful	3	1	0
stubborn	-2	2	1
virtuous	2	1	0
accept	1	1	4
obnoxious	-3	0	1
awkward	-2	2	4
needy	-2	1	0
comfort	2	1	1
peril	-2	2	3
adventure	2	0	2
numb	-1	1	1
refuse	-2	1	0
criticize	-2	0	3
dread	-2	3	2
pay	-1	0	1
pleasure	3	0	1
dream	1	0	4
hell	-4	2	1
suffer	-2	3	2
trouble	-2	2	5
arrogant	-2	4	3
pray	1	0	2
fool	-2	1	3
good	3	4	1
belittle	-2	1	0
complain	-2	0	2
slicker	2	0	1
imprisoned	-2	0	2
scumbag	-4	1	0
harm	-2	1	4
restless	-2	0	1
noble	2	1	1
resolute	2	1	1
hard	-1	5	5
gun	-1	2	0
miss	-2	2	2
childish	-2	1	2
jolly	2	2	1
safety	1	1	1
warm	1	2	1
pathetic	-2	2	2
favored	2	1	0
forgive	1	0	2
pleasant	3	0	1
backed	1	10	9
hapless	-2	1	1
success	2	2	2
threat	-2	1	1
fallen	-2	4	4
top	2	1	1
unhealthy	-2	2	1
contender	-1	1	0
sympathy	2	1	0
bullied	-2	0	1
regret	-2	3	3
moan	-2	2	3
revive	2	1	2
wonderful	4	1	0
imperfect	-2	0	1
relieved	2	0	1
appreciation	2	1	0
grace	1	4	1
kind	2	2	1
spirited	2	1	0
cleaner	2	0	1
motivation	1	1	0
outstanding	5	2	2
strengthen	2	1	1
suspicious	-2	1	2
defect	-3	2	2
blissful	3	0	1
misrepresentation	-2	1	0
speculative	-2	0	1
lackadaisical	-2	0	1
serene	2	2	0
contestable	-2	2	0
inconvenience	-2	2	1
reach	1	2	1
charm	3	2	5
significant	1	2	3
funnier	4	1	2
unequal	-1	1	1
squelched	-1	0	1
clear	1	4	1
clean	2	1	2
fainthearted	-2	1	1
dodging	-2	2	2
stunned	-2	2	1
agonize	-3	2	0
fond	2	1	1
aghast	-2	1	0
fine	2	2	1
aggravate	-2	1	0
justice	2	1	0
nervous	-2	2	5
ruin	-2	1	2
unhappy	-2	1	1
penalty	-2	0	2
betray	-3	3	0
pretty	1	5	3
indifference	-2	2	0
courage	2	2	0
distraction	-2	2	0
resolve	2	2	4
boost	1	2	1
violent	-3	1	1
withdrawal	-3	2	1
courteous	2	1	2
relentless	-1	1	1
insane	-2	2	2
cramp	-1	0	1
dumb	-3	1	3
tender	2	3	1
wow	4	1	0
please	1	1	1
determined	2	0	1
hardship	-2	0	1
fidgety	-2	0	1
unstoppable	2	1	1
hesitant	-2	1	1
influential	2	0	1
timorous	-2	0	1
poverty	-1	0	1
cynic	-2	0	1
distress	-2	0	1
drunk	-2	1	1
sweet	2	3	1
deceit	-3	1	0
eviction	-1	0	1
improvement	2	1	0
worthless	-2	1	0
dud	-2	1	0
damn	-4	0	2
threaten	-2	1	1
fire	-2	3	5
cruelty	-3	0	1
demand	-1	2	1
gag	-2	0	1
poised	-2	2	1
solid	2	1	0
straight	1	4	3
smile	2	1	1
healthy	2	1	0
substantial	1	1	0
error	-2	0	1
fun	4	1	1
flees	-1	0	2
costly	-2	1	0
astound	3	0	1
hoax	-2	1	0
obstacle	-2	2	1
rig	-1	0	1
alone	-2	2	3
grant	1	1	2
perpetrator	-2	0	1
madly	-3	2	1
grand	3	0	5
esteemed	2	2	0
itchy	-2	1	2
conflict	-2	2	2
displeased	-2	1	0
overweight	-1	0	1
alert	-1	1	1
robust	2	0	2
timid	-2	2	1
cheer	2	0	2
abilities	2	3	0
competitive	2	1	0
cocky	-2	0	1
useful	2	1	0
cut	-1	2	3
eager	2	1	0
questioned	-1	3	5
emergency	-2	1	0
big	1	2	5
suffering	-2	0	1
dearly	3	0	1
like	2	2	6
skeptical	-2	1	1
lost	-3	0	2
ignore	-1	1	1
distrust	-3	1	1
provoking	-1	0	1
vibrant	3	1	0
popular	3	1	1
mediocrity	-3	0	1
foolish	-2	3	1
disinclined	-2	0	1
urgent	-1	0	1
curious	1	1	0
stingy	-2	0	1
innovation	1	1	0
apathetic	-3	2	0
hypocritical	-2	1	0
agreement	1	0	2
ache	-2	1	3
intense	1	1	3
faith	1	4	3
cautious	-1	1	1
discontented	-2	0	1
stricken	-2	1	0
block	-1	1	2
nonsense	-2	2	2
risk	-2	2	2
infected	-2	1	0
grave	-2	0	2
invite	1	1	0
audacious	3	3	3
alive	1	0	2
dull	-2	1	3
gallantry	3	0	1
redeemed	2	1	1
mature	2	2	3
highlight	2	0	1
wicked	-2	4	3
repulse	-1	0	1
haunt	-1	1	0
warning	-3	4	0
rainy	-1	0	1
sullen	-2	2	1
paradox	-1	3	5
peace	2	0	4
mock	-2	0	3
nice	3	1	1
energetic	2	1	0
resign	-1	0	2
prepared	1	1	0
helping	2	0	1
drag	-1	2	4
downcast	-2	1	0
humiliated	-3	2	2
impatient	-2	1	0
bribe	-3	1	1
ignorant	-2	1	2
menace	-2	1	1
avoid	-1	1	2
cheerful	2	1	1
suave	2	1	2
obstinate	-2	0	4
stable	2	1	1
friendly	2	0	2
torture	-4	0	1
manipulated	-1	1	3
accuse	-2	1	0
anxious	-2	2	5
jerk	-3	0	1
uncomfortable	-2	1	0
exuberant	4	0	2
ardent	1	1	3
odd	-2	3	3
melancholy	-2	1	2
misgiving	-2	0	1
focused	2	1	2
sexy	3	2	0
enterprising	1	1	0
great	3	0	1
engage	1	0	2
uneasy	-2	0	1
distressed	-2	1	0
honor	2	3	7
danger	-2	1	0
win	4	3	1
apprehensive	-2	1	1
scandal	-3	2	0
confidence	2	3	1
doubt	-1	1	2
agreeable	2	1	1
noisy	-1	0	1
clever	2	3	3
rich	2	2	0
charming	3	0	1
sore	-1	0	1
unbelieving	-1	1	0
annoy	-2	0	1
challenge	-1	2	2
praise	3	2	1
fulfill	2	2	3
contempt	-2	3	2
hesitate	-2	1	1
daring	2	2	1
delay	-1	1	1
fearsome	-2	0	1
intelligent	2	1	1
tension	-1	1	1
incompetence	-2	1	1
await	-1	1	2
perjury	-3	0	1
abuse	-3	2	6
lame	-2	1	2
trembling	-2	1	1
allow	1	1	0
classy	3	1	0
furious	-3	1	0
beauties	3	1	0
nasty	-3	3	4
perfect	3	1	2
superior	2	0	2
glee	3	0	1
winning	4	1	0
crash	-2	1	2
cutting	-1	0	2
kiss	2	3	4
panic	-3	1	1
incapacitated	-2	1	1
disregard	-2	0	1
thwart	-2	1	1
gallant	3	3	3
fascist	-2	0	1
hilarious	2	1	4
greedy	-2	0	3
embarrass	-2	1	2
shrew	-4	0	1
hostile	-2	1	2
steal	-2	0	3
keen	1	1	3
sleeplessness	-2	0	1
distracted	-2	1	1
pitied	-1	1	1
bitch	-5	0	1
suck	-3	2	2
cynical	-2	2	1
silencing	-1	2	2
attack	-1	2	1
chagrin	-2	2	2
punish	-2	1	1
depressing	-2	0	1
glamorous	3	2	0
boring	-3	1	0
bother	-2	1	4
misunderstand	-2	1	1
woebegone	-2	0	1
comfortable	2	1	2
miserable	-3	1	3
demonstration	-1	0	1
bastard	-5	0	2
afraid	-2	1	0
boastful	-2	0	2
alienation	-2	1	0
clash	-2	1	0
courtesy	2	2	1
prisoner	-2	0	1
medal	3	1	1
fair	2	2	2
enthusiastic	3	1	0
contemptuous	-2	1	3
survived	2	1	2
exclusive	2	1	1
fear	-2	1	3
darkest	-2	2	4
litigation	-1	1	0
winner	4	1	0
hopeful	2	1	1
rash	-2	1	0
inferior	-2	0	1
indignant	-2	1	2
prosecute	-1	1	0
lucky	3	0	1
worse	-3	6	3
shy	-1	2	1
wish	1	2	1
expel	-2	1	0
triumphant	4	0	1
desperate	-3	1	1
wealth	3	1	0
favor	2	4	1
horrible	-3	0	2
progress	2	0	1
importance	2	0	1
joy	3	3	0
sorrow	-2	3	0
embarrassment	-2	1	1
lawsuit	-2	1	0
limits	-1	1	3
joke	2	4	3
admit	-1	2	3
glorious	2	0	1
commend	2	0	1
competent	2	0	2
laugh	1	0	5
cynicism	-2	1	0
pissed	-4	2	0
waste	-1	0	2
perplexed	-2	1	1
tense	-2	2	2
banish	-1	0	1
novel	2	1	0
intimidate	-2	0	2
agonized	-3	0	1
encouragement	2	0	1
respected	2	3	5
whore	-4	1	2
lunatic	-3	0	2
maddening	-3	1	1
defiant	-1	0	1
romance	2	1	1
strange	-1	0	4
privileged	2	1	1
injured	-2	2	0
spiritless	-2	0	1
discredited	-2	1	2
discouraged	-2	0	1
skepticism	-2	1	0
expand	1	1	2
fascinate	3	1	0
enrage	-2	0	1
stout	2	0	2
cried	-2	5	2
discord	-2	0	1
happiness	3	1	0
generous	2	2	2
arrest	-2	1	1
despondent	-3	0	2
indignation	-2	0	2
smart	1	4	2
clouded	-1	1	0
virulent	-2	1	0
livid	-2	1	0
prominent	2	0	6
inquisitive	2	1	0
nerves	-1	3	1
poor	-2	2	1
scared	-2	1	1
immortal	2	0	1
growth	2	1	3
leak	-1	0	1
rewarding	2	1	0
pressure	-1	1	2
worthy	2	1	1
frustrate	-2	0	1
inconsiderate	-2	0	1
freedom	2	1	2
swear	-2	0	3
discard	-1	1	0
commitment	2	1	2
promise	1	3	0
frustration	-2	0	2
relishing	2	1	2
admonish	-2	0	2
gain	2	2	1
glory	2	0	2
distract	-2	0	2
warmth	2	1	0
excitement	3	1	1
convince	1	1	1
inadequate	-2	1	0
meaningless	-2	0	1
goodness	3	0	1
authority	1	2	1
immobilized	-1	1	0
detain	-2	0	1
sick	-2	2	1
reckless	-2	0	3
ecstatic	4	0	2
treason	-3	0	1
astounding	3	0	1
chance	2	0	1
stab	-2	2	1
animosity	-2	0	2
inspiration	2	1	1
ghost	-1	1	0
abhor	-3	0	1
